"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Buried in the Garden","WG","U","68315","3.02","27315","3.39","148766","88.7%","56.7%","25067","57.9%","35614","60.6%","60681","59.5%","87756","54.7%","4.8pp"
"Crime // Punishment","WBG","M","11250","3.91","2305","5.01","8082","60.2%","52.4%","1242","52.5%","2061","55.5%","3303","54.4%","4738","51.0%","3.4pp"
"Cruel Ultimatum","UBR","R","26470","4.55","5857","5.48","18225","52.3%","53.9%","2896","55.5%","5259","63.2%","8155","60.4%","9868","48.0%","12.5pp"
"Decimate","RG","R","35597","6.39","4006","9.93","1034","4.3%","47.0%","157","","253","","410","","623","50.7%",""
"Decisive Denial","UG","U","136107","6.32","18797","9.14","46649","42.1%","52.1%","7464","50.5%","11954","55.2%","19418","53.4%","26804","50.9%","2.5pp"
"Detention Sphere","WU","R","24837","4.07","4872","5.23","18740","65.7%","52.2%","3063","51.4%","5164","56.4%","8227","54.5%","10457","50.3%","4.3pp"
"Endless Detour","WUG","R","37821","6.37","4915","9.50","4474","15.1%","53.2%","732","54.1%","1164","56.5%","1896","55.6%","2552","51.3%","4.3pp"
"Fractured Identity","WU","M","5827","2.20","3330","2.18","18490","90.9%","55.9%","3065","59.5%","5035","64.2%","8100","62.4%","10275","50.7%","11.8pp"
"Hindering Light","WU","U","146490","7.49","16949","10.99","15050","15.1%","48.2%","2425","44.9%","4123","51.1%","6548","48.8%","8467","47.7%","1.1pp"
"Humiliate","WB","U","142396","6.87","20576","9.66","43281","35.3%","55.0%","7217","57.8%","10885","57.2%","18102","57.5%","25141","53.1%","4.3pp"
"Hypothesizzle","UR","U","121964","5.54","20051","7.56","67480","57.9%","51.0%","10776","50.3%","18536","54.8%","29312","53.1%","37931","49.2%","4.0pp"
"Ionize","UR","R","32286","5.46","4479","7.94","10292","39.1%","50.9%","1677","49.5%","2969","57.0%","4646","54.3%","5603","47.8%","6.4pp"
"Oko, Thief of Crowns","UG","M","3342","1.30","2819","1.30","16497","94.5%","56.9%","2939","64.4%","4237","63.8%","7176","64.1%","9185","51.2%","12.8pp"
"Outlaws' Merriment","WR","R","15668","2.83","5307","3.06","26169","82.1%","54.4%","4372","59.7%","6331","56.6%","10703","57.9%","15461","52.0%","5.9pp"
"Ride Down","WR","U","138177","6.61","16140","9.74","32461","33.8%","53.6%","5034","51.5%","7177","53.7%","12211","52.8%","20242","54.1%","-1.3pp"
"Savage Smash","RG","U","119172","5.20","18472","7.32","68896","62.5%","53.5%","11064","51.2%","15540","53.9%","26604","52.8%","42180","54.0%","-1.2pp"
"Siphon Insight","UB","R","25401","4.24","5139","5.55","20784","69.1%","52.6%","3530","52.4%","5867","57.3%","9397","55.4%","11308","50.2%","5.2pp"
"Terminal Agony","BR","U","124825","5.62","16763","8.15","54500","55.4%","52.0%","8783","50.3%","13945","55.1%","22728","53.2%","31582","51.1%","2.1pp"
"Tyrant's Scorn","UB","U","116603","5.16","22058","6.77","90483","69.4%","53.3%","15541","54.2%","25803","58.9%","41344","57.1%","48695","49.9%","7.2pp"
"Vanishing Verse","WB","R","25985","4.34","5123","5.60","21558","69.5%","55.3%","3678","56.1%","5474","60.7%","9152","58.8%","12360","52.6%","6.2pp"
"Villainous Wealth","UBG","R","20820","3.64","6396","4.13","28862","77.6%","52.0%","4610","47.6%","7951","57.9%","12561","54.1%","15870","49.9%","4.3pp"
"Void Rend","WUB","R","34513","5.82","4703","8.59","7301","26.3%","51.1%","1233","49.3%","2002","57.9%","3235","54.7%","4034","48.1%","6.6pp"
"Voidslime","UG","R","35967","6.21","4448","9.38","4583","17.4%","50.1%","751","44.5%","1141","56.2%","1892","51.5%","2649","48.8%","2.8pp"
"Contagion Engine","","M","6499","2.44","2472","2.60","12573","86.4%","52.4%","1991","48.6%","3242","55.9%","5233","53.1%","7311","51.9%","1.2pp"
"Grindstone","","M","14203","4.84","1594","7.38","2175","23.5%","45.4%","400","","588","46.4%","988","42.3%","1184","48.1%","-5.7pp"
"Mindslaver","","M","9966","3.52","2026","4.30","7316","62.8%","51.0%","1162","47.9%","1879","51.7%","3041","50.2%","4262","51.6%","-1.3pp"
"Unlicensed Hearse","","R","18252","3.05","4295","3.70","20486","81.8%","51.7%","3527","51.1%","5119","53.1%","8646","52.3%","11831","51.2%","1.2pp"
"Dust Bowl","","R","38100","6.57","4232","10.22","1271","5.0%","50.2%","210","","302","","512","46.7%","756","52.5%","-5.8pp"
